,Rank.0,Vkey.0,Subareas.0,Precision.0@k,Recall.0@k,Rank.1,Vkey.1,Subareas.1,Precision.1@k,Recall.1@k,Rank.2,Vkey.2,Subareas.2,Precision.2@k,Recall.2@k
0,1,conf/www,"['Information retrieval', 'World Wide Web']",1.0,0.05,1,conf/sigir,['Information retrieval'],1.0,0.05,1,conf/ictir,['Information retrieval'],1.0,0.05
1,2,journals/is,[''],0.5,0.05,2,conf/cikm,['Knowledge management'],0.5,0.05,2,conf/sigir,['Information retrieval'],1.0,0.1
2,3,conf/wsdm,"['Data mining', 'Information retrieval', 'World Wide Web']",0.666666666667,0.1,3,conf/trec,['Information retrieval'],0.666666666667,0.1,3,conf/adcs,['Information retrieval'],1.0,0.15
3,4,conf/emnlp,['Natural language processing'],0.5,0.1,4,conf/ecir,['Information retrieval'],0.75,0.15,4,journals/ir,['Information retrieval'],1.0,0.2
4,5,conf/sigir,['Information retrieval'],0.6,0.15,5,conf/clef,['Information retrieval'],0.8,0.2,5,conf/ecir,['Information retrieval'],1.0,0.25
5,6,journals/ir,['Information retrieval'],0.666666666667,0.2,6,conf/www,"['Information retrieval', 'World Wide Web']",0.833333333333,0.25,6,conf/trec,['Information retrieval'],1.0,0.3
6,7,conf/icwsm,"['Data mining', 'Data science']",0.571428571429,0.2,7,journals/jasis,"['Data science', 'World Wide Web']",0.714285714286,0.25,7,journals/sigir,['Information retrieval'],1.0,0.35
7,8,conf/naacl,['Natural language processing'],0.5,0.2,8,journals/ipm,"['Data science', 'Information retrieval']",0.75,0.3,8,conf/iiix,"['Human-computer interaction', 'Information retrieval']",1.0,0.4
8,9,conf/sdm,['Data mining'],0.444444444444,0.2,9,journals/sigir,['Information retrieval'],0.777777777778,0.35,9,journals/tois,['Information retrieval'],1.0,0.45
9,10,conf/clef,['Information retrieval'],0.5,0.25,10,conf/mm,['Multimedia'],0.7,0.35,10,conf/wsdm,"['Data mining', 'Information retrieval', 'World Wide Web']",1.0,0.5
10,11,conf/webi,"['Data science', 'World Wide Web']",0.454545454545,0.25,11,conf/jcdl,"['Database', 'Knowledge management']",0.636363636364,0.35,11,conf/inex,['Information retrieval'],1.0,0.55
11,12,conf/jcdl,"['Database', 'Knowledge management']",0.416666666667,0.25,12,journals/tois,['Information retrieval'],0.666666666667,0.4,12,conf/spire,"['Computational biology', 'Information retrieval']",1.0,0.6
12,13,conf/spire,"['Computational biology', 'Information retrieval']",0.461538461538,0.3,13,journals/ir,['Information retrieval'],0.692307692308,0.45,13,conf/airs,['Information retrieval'],1.0,0.65
13,14,conf/cpm,['Pattern recognition'],0.428571428571,0.3,14,conf/wsdm,"['Data mining', 'Information retrieval', 'World Wide Web']",0.714285714286,0.5,14,conf/cikm,['Knowledge management'],0.928571428571,0.65
14,15,conf/trec,['Information retrieval'],0.466666666667,0.35,15,conf/ntcir,['Information retrieval'],0.733333333333,0.55,15,journals/tweb,['World Wide Web'],0.866666666667,0.65
15,16,conf/ijcnlp,['Natural language processing'],0.4375,0.35,16,conf/kdd,"['Data mining', 'Knowledge management']",0.6875,0.55,16,conf/riao,['Information retrieval'],0.875,0.7
16,17,conf/mmm,['Multimedia'],0.411764705882,0.35,17,journals/tkde,"['Data science', 'Knowledge management']",0.647058823529,0.55,17,conf/clef,['Information retrieval'],0.882352941176,0.75
17,18,conf/inex,['Information retrieval'],0.444444444444,0.4,18,conf/acl,['Natural language processing'],0.611111111111,0.55,18,conf/ntcir,['Information retrieval'],0.888888888889,0.8
18,19,journals/ipm,"['Data science', 'Information retrieval']",0.473684210526,0.45,19,conf/icdm,['Data mining'],0.578947368421,0.55,19,conf/la-web,['World Wide Web'],0.842105263158,0.8
