,Rank.0,Vkey.0,Subareas.0,Precision.0@k,Recall.0@k,Rank.1,Vkey.1,Subareas.1,Precision.1@k,Recall.1@k,Rank.2,Vkey.2,Subareas.2,Precision.2@k,Recall.2@k
0,1,conf/cvpr,['Pattern recognition'],0.0,0.0,1,conf/sigir,['Information retrieval'],1.0,0.0625,1,conf/ictir,['Information retrieval'],1.0,0.0625
1,2,conf/www,['World Wide Web'],0.0,0.0,2,conf/cikm,"['Database', 'Knowledge management']",0.5,0.0625,2,conf/sigir,['Information retrieval'],1.0,0.125
2,3,conf/icml,['Machine learning'],0.0,0.0,3,conf/trec,['Information retrieval'],0.666666666667,0.125,3,journals/ir,['Information retrieval'],1.0,0.1875
3,4,conf/nips,['Machine learning'],0.0,0.0,4,conf/ecir,['Information retrieval'],0.75,0.1875,4,conf/ecir,['Information retrieval'],1.0,0.25
4,5,conf/sigmod,['Database'],0.0,0.0,5,conf/clef,[''],0.6,0.1875,5,conf/trec,['Information retrieval'],1.0,0.3125
5,6,conf/wsdm,['Information retrieval'],0.166666666667,0.0625,6,conf/www,['World Wide Web'],0.5,0.1875,6,journals/sigir,['Information retrieval'],1.0,0.375
6,7,conf/emnlp,['Natural language processing'],0.142857142857,0.0625,7,journals/jasis,['Information retrieval'],0.571428571429,0.25,7,conf/iiix,['Information retrieval'],1.0,0.4375
7,8,conf/icde,[''],0.125,0.0625,8,journals/ipm,['Information retrieval'],0.625,0.3125,8,journals/tois,['Information retrieval'],1.0,0.5
8,9,conf/sigir,['Information retrieval'],0.222222222222,0.125,9,journals/sigir,['Information retrieval'],0.666666666667,0.375,9,conf/wsdm,['Information retrieval'],1.0,0.5625
9,10,journals/ir,['Information retrieval'],0.3,0.1875,10,conf/mm,['Multimedia'],0.6,0.375,10,conf/inex,['Information retrieval'],1.0,0.625
10,11,conf/icwsm,['World Wide Web'],0.272727272727,0.1875,11,conf/aaai,['Artificial intelligence'],0.545454545455,0.375,11,conf/spire,['Information retrieval'],1.0,0.6875
11,12,conf/naacl,['Natural language processing'],0.25,0.1875,12,conf/jcdl,[''],0.5,0.375,12,conf/airs,['Information retrieval'],1.0,0.75
12,13,conf/ijcai,['Artificial intelligence'],0.230769230769,0.1875,13,journals/tois,['Information retrieval'],0.538461538462,0.4375,13,conf/cikm,"['Database', 'Knowledge management']",0.923076923077,0.75
13,14,conf/aaai,['Artificial intelligence'],0.214285714286,0.1875,14,journals/ir,['Information retrieval'],0.571428571429,0.5,14,conf/riao,['Information retrieval'],0.928571428571,0.8125
14,15,conf/sdm,['Data mining'],0.2,0.1875,15,conf/wsdm,['Information retrieval'],0.6,0.5625,15,conf/clef,[''],0.866666666667,0.8125
15,16,conf/vldb,['Database'],0.1875,0.1875,16,conf/ntcir,['Information retrieval'],0.625,0.625,16,conf/ntcir,['Information retrieval'],0.875,0.875
16,17,conf/coling,['Natural language processing'],0.176470588235,0.1875,17,conf/kdd,"['Data mining', 'Knowledge management']",0.588235294118,0.625,17,conf/jcdl,[''],0.823529411765,0.875
17,18,conf/lrec,[''],0.166666666667,0.1875,18,journals/tkde,['Knowledge management'],0.555555555556,0.625,18,journals/ipm,['Information retrieval'],0.833333333333,0.9375
18,19,conf/clef,[''],0.157894736842,0.1875,19,conf/acl,['Natural language processing'],0.526315789474,0.625,19,conf/ercimdl,[''],0.789473684211,0.9375
19,20,conf/icmcs,['Multimedia'],0.15,0.1875,20,conf/icdm,['Data mining'],0.5,0.625,20,conf/www,['World Wide Web'],0.75,0.9375
20,21,conf/webi,['World Wide Web'],0.142857142857,0.1875,21,conf/spire,['Information retrieval'],0.52380952381,0.6875,21,conf/mir,[''],0.714285714286,0.9375
21,22,conf/jcdl,[''],0.136363636364,0.1875,22,conf/icde,[''],0.5,0.6875,22,conf/isi,[''],0.681818181818,0.9375
22,23,conf/spire,['Information retrieval'],0.173913043478,0.25,23,conf/ercimdl,[''],0.478260869565,0.6875,23,conf/icwsm,['World Wide Web'],0.652173913043,0.9375
